year,urbanization,sex,age_group,x,nDx,nEx
2017,Medium Metro,Male,75-79,75,35469,851250
2017,Medium Metro,Male,80-84,80,37683,548525
2017,Medium Metro,Male,85+,85,73113,495569
2018,Medium Metro,Male,1,0,2633,411663
2018,Medium Metro,Male,1-4,1,492,1722245
2018,Medium Metro,Male,5-9,5,260,2191922
2018,Medium Metro,Male,10-14,10,409,2263789
2018,Medium Metro,Male,15-19,15,1668,2330998
2018,Medium Metro,Male,20-24,20,3193,2503447
2018,Medium Metro,Male,25-29,25,4304,2470909
2018,Medium Metro,Male,30-34,30,4720,2233678
2018,Medium Metro,Male,35-39,35,5383,2167923
2018,Medium Metro,Male,40-44,40,5853,1959104
2018,Medium Metro,Male,45-49,45,8827,2057801
2018,Medium Metro,Male,50-54,50,12962,2068063
2018,Medium Metro,Male,55-59,55,21330,2185442
2018,Medium Metro,Male,60-64,60,28622,2032984
2018,Medium Metro,Male,65-69,65,32560,1730136
2018,Medium Metro,Male,70-74,70,36329,1368943
2018,Medium Metro,Male,75-79,75,37706,911560
2018,Medium Metro,Male,80-84,80,38078,566879
2018,Medium Metro,Male,85+,85,73855,507489
2019,Medium Metro,Male,1,0,2649,404810
2019,Medium Metro,Male,1-4,1,447,1702382
2019,Medium Metro,Male,5-9,5,278,2197842
2019,Medium Metro,Male,10-14,10,415,2259587
2019,Medium Metro,Male,15-19,15,1643,2328072
2019,Medium Metro,Male,20-24,20,3110,2480390
2019,Medium Metro,Male,25-29,25,4240,2478112
2019,Medium Metro,Male,30-34,30,4837,2266652
2019,Medium Metro,Male,35-39,35,5526,2191714
2019,Medium Metro,Male,40-44,40,6056,1989001
2019,Medium Metro,Male,45-49,45,8620,2025123
2019,Medium Metro,Male,50-54,50,12987,2031522
2019,Medium Metro,Male,55-59,55,21389,2177603
2019,Medium Metro,Male,60-64,60,28748,2059344
2019,Medium Metro,Male,65-69,65,33354,1763649
2019,Medium Metro,Male,70-74,70,37247,1435199
2019,Medium Metro,Male,75-79,75,38869,955082
2019,Medium Metro,Male,80-84,80,38949,586627
2019,Medium Metro,Male,85+,85,74316,518298
2017,Micropolitan (Nonmetro),Female,1,0,883,155181
2017,Micropolitan (Nonmetro),Female,1-4,1,170,636408
2017,Micropolitan (Nonmetro),Female,5-9,5,118,815321
2017,Micropolitan (Nonmetro),Female,10-14,10,139,838800
2017,Micropolitan (Nonmetro),Female,15-19,15,320,879189
2017,Micropolitan (Nonmetro),Female,20-24,20,538,902520
2017,Micropolitan (Nonmetro),Female,25-29,25,720,824230
2017,Micropolitan (Nonmetro),Female,30-34,30,941,773745
2017,Micropolitan (Nonmetro),Female,35-39,35,1247,785877
2017,Micropolitan (Nonmetro),Female,40-44,40,1695,740755
2017,Micropolitan (Nonmetro),Female,45-49,45,2590,814661
2017,Micropolitan (Nonmetro),Female,50-54,50,4270,881780
2017,Micropolitan (Nonmetro),Female,55-59,55,6792,978795
2017,Micropolitan (Nonmetro),Female,60-64,60,8909,948479
2017,Micropolitan (Nonmetro),Female,65-69,65,11243,829406
2017,Micropolitan (Nonmetro),Female,70-74,70,13884,654315
2017,Micropolitan (Nonmetro),Female,75-79,75,15912,469172
2017,Micropolitan (Nonmetro),Female,80-84,80,18763,333403
2017,Micropolitan (Nonmetro),Female,85+,85,54577,392683
2018,Micropolitan (Nonmetro),Female,1,0,837,150930
2018,Micropolitan (Nonmetro),Female,1-4,1,156,633989
2018,Micropolitan (Nonmetro),Female,5-9,5,93,807258
2018,Micropolitan (Nonmetro),Female,10-14,10,120,842820
2018,Micropolitan (Nonmetro),Female,15-19,15,322,873957
2018,Micropolitan (Nonmetro),Female,20-24,20,495,890892
2018,Micropolitan (Nonmetro),Female,25-29,25,821,830750
2018,Micropolitan (Nonmetro),Female,30-34,30,969,771273
2018,Micropolitan (Nonmetro),Female,35-39,35,1279,794814
2018,Micropolitan (Nonmetro),Female,40-44,40,1628,742321
2018,Micropolitan (Nonmetro),Female,45-49,45,2562,805058
2018,Micropolitan (Nonmetro),Female,50-54,50,4075,850543
2018,Micropolitan (Nonmetro),Female,55-59,55,6761,969036
2018,Micropolitan (Nonmetro),Female,60-64,60,9060,959668
2018,Micropolitan (Nonmetro),Female,65-69,65,11237,841864
2018,Micropolitan (Nonmetro),Female,70-74,70,14417,677523
2018,Micropolitan (Nonmetro),Female,75-79,75,16442,492817
2018,Micropolitan (Nonmetro),Female,80-84,80,18829,340012
2018,Micropolitan (Nonmetro),Female,85+,85,54034,393301
2019,Micropolitan (Nonmetro),Female,1,0,860,148695
2019,Micropolitan (Nonmetro),Female,1-4,1,187,627829
2019,Micropolitan (Nonmetro),Female,5-9,5,111,803106
2019,Micropolitan (Nonmetro),Female,10-14,10,128,839838
2019,Micropolitan (Nonmetro),Female,15-19,15,297,868222
2019,Micropolitan (Nonmetro),Female,20-24,20,517,881707
2019,Micropolitan (Nonmetro),Female,25-29,25,723,827819
2019,Micropolitan (Nonmetro),Female,30-34,30,1068,777609
2019,Micropolitan (Nonmetro),Female,35-39,35,1310,796259
2019,Micropolitan (Nonmetro),Female,40-44,40,1682,748390
2019,Micropolitan (Nonmetro),Female,45-49,45,2533,790283
2019,Micropolitan (Nonmetro),Female,50-54,50,3935,824319
2019,Micropolitan (Nonmetro),Female,55-59,55,6681,958227
2019,Micropolitan (Nonmetro),Female,60-64,60,9404,964574
2019,Micropolitan (Nonmetro),Female,65-69,65,11443,859049
2019,Micropolitan (Nonmetro),Female,70-74,70,14683,704246
2019,Micropolitan (Nonmetro),Female,75-79,75,16803,508194
2019,Micropolitan (Nonmetro),Female,80-84,80,19181,347670
2019,Micropolitan (Nonmetro),Female,85+,85,53667,392070
2017,Micropolitan (Nonmetro),Male,1,0,1125,162584
2017,Micropolitan (Nonmetro),Male,1-4,1,243,665903
2017,Micropolitan (Nonmetro),Male,5-9,5,139,852459
2017,Micropolitan (Nonmetro),Male,10-14,10,202,879062
2017,Micropolitan (Nonmetro),Male,15-19,15,786,932562
2017,Micropolitan (Nonmetro),Male,20-24,20,1356,1001587
2017,Micropolitan (Nonmetro),Male,25-29,25,1799,907651
2017,Micropolitan (Nonmetro),Male,30-34,30,1974,828336
2017,Micropolitan (Nonmetro),Male,35-39,35,2321,821847
