urbanization,ageGroup,startAge,sex,year,deaths,pop
Micropolitan (Nonmetro),80-84,80,Male,2018,19593,259624
Micropolitan (Nonmetro),85+,85,Male,2018,34067,215662
Micropolitan (Nonmetro),1,0,Male,2019,1100,155856
Micropolitan (Nonmetro),1-4,1,Male,2019,218,655266
Micropolitan (Nonmetro),5-9,5,Male,2019,136,842174
Micropolitan (Nonmetro),10-14,10,Male,2019,195,879224
Micropolitan (Nonmetro),15-19,15,Male,2019,694,921169
Micropolitan (Nonmetro),20-24,20,Male,2019,1308,975606
Micropolitan (Nonmetro),25-29,25,Male,2019,1665,918383
Micropolitan (Nonmetro),30-34,30,Male,2019,1965,838173
Micropolitan (Nonmetro),35-39,35,Male,2019,2439,831748
Micropolitan (Nonmetro),40-44,40,Male,2019,2790,776649
Micropolitan (Nonmetro),45-49,45,Male,2019,3988,807305
Micropolitan (Nonmetro),50-54,50,Male,2019,5993,828079
Micropolitan (Nonmetro),55-59,55,Male,2019,10454,924361
Micropolitan (Nonmetro),60-64,60,Male,2019,14404,912507
Micropolitan (Nonmetro),65-69,65,Male,2019,16966,800116
Micropolitan (Nonmetro),70-74,70,Male,2019,19086,640526
Micropolitan (Nonmetro),75-79,75,Male,2019,20019,431877
Micropolitan (Nonmetro),80-84,80,Male,2019,20005,267338
Micropolitan (Nonmetro),85+,85,Male,2019,33705,219959
NonCore (Nonmetro),1,0,Female,2017,665,101463
NonCore (Nonmetro),1-4,1,Female,2017,144,422050
NonCore (Nonmetro),5-9,5,Female,2017,73,548183
NonCore (Nonmetro),10-14,10,Female,2017,120,574491
NonCore (Nonmetro),15-19,15,Female,2017,273,551702
NonCore (Nonmetro),20-24,20,Female,2017,369,492268
NonCore (Nonmetro),25-29,25,Female,2017,525,507891
NonCore (Nonmetro),30-34,30,Female,2017,688,491372
NonCore (Nonmetro),35-39,35,Female,2017,877,514403
NonCore (Nonmetro),40-44,40,Female,2017,1227,498435
NonCore (Nonmetro),45-49,45,Female,2017,1931,555521
NonCore (Nonmetro),50-54,50,Female,2017,3264,624586
NonCore (Nonmetro),55-59,55,Female,2017,5111,708342
NonCore (Nonmetro),60-64,60,Female,2017,7016,701068
NonCore (Nonmetro),65-69,65,Female,2017,8524,623201
NonCore (Nonmetro),70-74,70,Female,2017,10744,503619
NonCore (Nonmetro),75-79,75,Female,2017,12480,369026
NonCore (Nonmetro),80-84,80,Female,2017,14825,261758
NonCore (Nonmetro),85+,85,Female,2017,40630,298979
NonCore (Nonmetro),1,0,Female,2018,598,98874
NonCore (Nonmetro),1-4,1,Female,2018,127,419850
NonCore (Nonmetro),5-9,5,Female,2018,74,541235
NonCore (Nonmetro),10-14,10,Female,2018,111,575948
NonCore (Nonmetro),15-19,15,Female,2018,230,546876
NonCore (Nonmetro),20-24,20,Female,2018,356,484176
NonCore (Nonmetro),25-29,25,Female,2018,459,515036
NonCore (Nonmetro),30-34,30,Female,2018,678,488180
NonCore (Nonmetro),35-39,35,Female,2018,912,517608
NonCore (Nonmetro),40-44,40,Female,2018,1171,497426
NonCore (Nonmetro),45-49,45,Female,2018,1863,547466
NonCore (Nonmetro),50-54,50,Female,2018,3176,599135
NonCore (Nonmetro),55-59,55,Female,2018,5122,701348
NonCore (Nonmetro),60-64,60,Female,2018,6854,708510
NonCore (Nonmetro),65-69,65,Female,2018,8652,631149
NonCore (Nonmetro),70-74,70,Female,2018,11046,517060
NonCore (Nonmetro),75-79,75,Female,2018,12865,384193
NonCore (Nonmetro),80-84,80,Female,2018,14913,266946
NonCore (Nonmetro),85+,85,Female,2018,40322,299375
